OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,278122,339740,230058,188089,119243,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,246797,307577,210258,169547,99104,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,276659,392672,251890,202191,127185,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,218445,289926,186427,150702,106657,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,238591,318082,211742,169080,114160,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,200022,276366,171944,137926,95110,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,231436,288385,196959,155792,104663,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,188540,304913,205910,158233,115732,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,274875,335820,227064,186219,118254,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,247515,308714,210607,169777,99555,
